Date,Open,High,Low,Close,Volume,Tomorrow,Target,Ratio_Close_2,Trend_2,Ratio_Close_5,Trend_5,Ratio_Close_60,Trend_60,Ratio_Close_250,Trend_250,Ratio_Close_1000,Trend_1000
2003-12-26 00:00:00-05:00,0.3065391509002603,0.31497461474285876,0.306388136930997,0.3130159080028534,103695200,0.31859010457992554,1,1.008982651581375,2.0,1.0333160567493382,3.0,0.951841773362671,28.0,1.1235310509797085,129.0,0.8019917069402835,471.0
2003-12-29 00:00:00-05:00,0.3149746681461215,0.31874026382602894,0.31422138308832115,0.31859010457992554,233458400,0.3205479085445404,1,1.0088254330484885,2.0,1.0367663835576788,4.0,0.9683633835008846,29.0,1.1418547146607694,129.0,0.8172229607919136,472.0
2003-12-30 00:00:00-05:00,0.31904133877438084,0.3238622212567744,0.3185900315304564,0.3205479085445404,204853600,0.3219034969806671,1,1.0030631943718133,2.0,1.0287152037595428,4.0,0.9746190953263891,29.0,1.1472661996145899,129.0,0.8232221339056668,472.0
2003-12-31 00:00:00-05:00,0.3216023489414122,0.3243135109036298,0.3190413461943603,0.3219034969806671,174451200,0.3205479085445404,0,1.0021100248586405,2.0,1.0177157897833264,5.0,0.979428566675369,29.0,1.1505126827482128,129.0,0.8275400334329808,473.0
2004-01-02 00:00:00-05:00,0.3246146513932861,0.327627816073269,0.31904133877438084,0.3205479085445404,144642400,0.33395451307296753,1,0.9978899751413595,1.0,1.0051010842207901,4.0,0.9767514858193742,28.0,1.1440957605863484,129.0,0.8249646365712843,472.0
2004-01-05 00:00:00-05:00,0.3226568705089871,0.33726797202381864,0.3226568705089871,0.33395451307296753,395018400,0.33274903893470764,0,1.020483659167058,1.0,1.0335667960352974,4.0,1.018296471620244,29.0,1.190073035136249,130.0,0.8603586891060682,473.0
2004-01-06 00:00:00-05:00,0.33515905332479984,0.3377200817079164,0.3270255910013146,0.33274903893470764,509348000,0.34028100967407227,1,0.9981918888318057,1.0,1.0208886719810786,3.0,1.0156781762208031,28.0,1.1838605955807733,130.0,0.8580617243489271,473.0
2004-01-07 00:00:00-05:00,0.33289997928327925,0.3438964452639426,0.3303389514667157,0.34028100967407227,586874400,0.3518797755241394,1,1.0111911359008918,1.0,1.0315071831805676,3.0,1.0395369491540856,28.0,1.2086085756144787,130.0,0.8782009536521291,474.0
2004-01-08 00:00:00-05:00,0.3440466081976313,0.3574531133199653,0.3411844574587568,0.3518797755241394,460303200,0.34645670652389526,0,1.0167573287856024,2.0,1.0476277531455824,3.0,1.0757872602235008,28.0,1.2474983608720556,130.0,0.9090191726028982,474.0
2004-01-09 00:00:00-05:00,0.3499211541757014,0.36347865142404395,0.3432934069797533,0.34645670652389526,427459200,0.3574531376361847,1,0.9922343037494766,1.0,1.0158107993734267,3.0,1.0604691802790467,27.0,1.2260801254441056,130.0,0.8959586109686009,473.0
2004-01-12 00:00:00-05:00,0.3502230954952817,0.36151985564909583,0.3479632155315403,0.3574531376361847,487547200,0.36332759261131287,1,1.0156219311372334,1.0,1.0338068920430739,3.0,1.0950453610101187,27.0,1.2625403158181348,131.0,0.9254140518199501,473.0
2004-01-13 00:00:00-05:00,0.3720642044878931,0.3741730704446178,0.35941098360788015,0.36332759261131287,679016800,0.36453303694725037,1,1.0081501276721299,2.0,1.0325337040655194,4.0,1.1122973300266386,28.0,1.280648205625895,132.0,0.9416934011898308,473.0
2004-01-14 00:00:00-05:00,0.36754534723918203,0.3696542133262352,0.35820643868609064,0.36453303694725037,620043200,0.3441976010799408,0,1.0016561471894263,2.0,1.021873646758961,4.0,1.114745362772558,29.0,1.2822881774020696,132.0,0.9460199608110436,473.0
2004-01-15 00:00:00-05:00,0.3451010451933919,0.3524820757511276,0.3389254363958439,0.3441976010799408,1018208800,0.3422388732433319,0,0.9713072431524692,1.0,0.9690421972224273,3.0,1.0528584819417568,28.0,1.2085146236154887,132.0,0.8943933578804174,473.0
2004-01-16 00:00:00-05:00,0.3447998758196836,0.347059730376853,0.3405821443333953,0.3422388732433319,372820000,0.342389851808548,1,0.9971465271589189,0.0,0.9658214380998321,3.0,1.0472369469698337,28.0,1.1994297279146107,132.0,0.8903632583868892,473.0
2004-01-20 00:00:00-05:00,0.34148557816920067,0.34344428464855753,0.3351589559894813,0.342389851808548,315946400,0.3405821919441223,0,1.0002205261913377,1.0,0.9745329146421186,3.0,1.0477230987697077,29.0,1.1977205160919222,133.0,0.8919233028086391,473.0
2004-01-21 00:00:00-05:00,0.3419377730243763,0.34600534587412246,0.33787102978361433,0.3405821919441223,226660000,0.3341044783592224,0,0.9973532447177584,1.0,0.9821040131296889,2.0,1.0424959534671216,28.0,1.1892814639915599,132.0,0.8883467003421298,473.0
2004-01-22 00:00:00-05:00,0.33982880375119934,0.34389637536527423,0.3341044783592224,0.3341044783592224,205004800,0.33982884883880615,1,0.9903989305406204,0.0,0.9806337816570284,1.0,1.022998354642969,28.0,1.1646085279494314,132.0,0.8725759485290038,473.0
2004-01-23 00:00:00-05:00,0.337719983161704,0.34254001053541117,0.33515895552589164,0.33982884883880615,227169600,0.34660762548446655,1,1.008493971508107,1.0,1.0,2.0,1.0405578587231037,29.0,1.1824687026571532,132.0,0.8885137657764102,474.0
2004-01-26 00:00:00-05:00,0.33832232095353393,0.3473609104062736,0.33787101368760547,0.34660762548446655,271269600,0.3475112020969391,1,1.009875315341224,2.0,1.0173319082677694,3.0,1.0618940719708023,29.0,1.2039282948835648,132.0,0.9072689130793689,474.0
